"network","model","NODF","wine","binmatnest.temperature","links","totalweight"
"M_PL_007_GC.csv","SHUFFLE",8.9921768707483,2.57482867116539,40.7526939507568,84,979
"M_PL_007_GC.csv","VAZ",38.8309523809524,92.5570638026715,5.46285263821001,84,979
"M_PL_007_GC.csv","SYTR",44.1993197278912,83.3188501079299,2.23024679283262,84,242
"M_PL_007_GC.csv","SWAP",31.9363095238095,85.0737635778478,8.28246409830069,84,979
"M_PL_007_GC.csv","WRND",9.28163265306122,6.06673710564024,29.7388106358121,84,979
"M_PL_007_GC.csv","BVAZ",16.9112244897959,37.8271441212943,19.4922316518041,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.3506184291899,56.5825855563724,10.2493249706516,84,84
"M_PL_007_GC.csv","PATEFIELD",38.9097873141351,92.5837756097244,7.34839114607066,100,979
"M_PL_007_GC.csv","RND",9.16224489795918,1.51069012198884,27.0639273256613,84,84
"M_PL_007_GC.csv","MGEN",41.8637301587302,93.5808164643102,6.87071533877459,110,979
"M_PL_007_GC.csv","SHUFFLE",6.19795918367347,4.79029338258439,46.0193329067957,84,979
"M_PL_007_GC.csv","VAZ",39.8690590111643,93.3357343595077,6.31152999946773,84,979
"M_PL_007_GC.csv","SYTR",39.4326530612245,67.530929049621,5.01850649940021,84,245
"M_PL_007_GC.csv","SWAP",31.9464285714286,88.4429898114964,9.02454616280838,84,979
"M_PL_007_GC.csv","WRND",8.55493197278911,18.1087210019667,37.3050000583385,84,979
"M_PL_007_GC.csv","BVAZ",16.8254578754579,43.7521370672592,20.0977961596194,84,84
"M_PL_007_GC.csv","BSHUFFLE",20.4146258503401,57.5864767410967,11.7674592050183,84,84
"M_PL_007_GC.csv","PATEFIELD",40.0904761904762,93.3277707533034,9.31299179665647,104,979
"M_PL_007_GC.csv","RND",11.0714285714286,1.49841325326188,29.6447860492109,84,84
"M_PL_007_GC.csv","MGEN",39.9621561668146,82.0170092019939,9.37234477723468,117,979
"M_PL_007_GC.csv","SHUFFLE",8.04642857142857,-7.30909140234673,41.776905657172,84,979
"M_PL_007_GC.csv","VAZ",34.8232426303855,94.1246343343106,6.07651508701854,84,979
"M_PL_007_GC.csv","SYTR",45.9176870748299,81.528800442607,6.25578360833941,84,168
"M_PL_007_GC.csv","SWAP",32.0191403834261,81.9573868404103,8.32627782251501,84,979
"M_PL_007_GC.csv","WRND",9.96666666666667,4.97330908095226,27.4745981915987,84,979
"M_PL_007_GC.csv","BVAZ",15.5571428571429,25.5184810133702,16.4719918333388,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.8729128014842,64.346437803723,11.2306588524891,84,84
